fips,state,year,share_20_34
36,New York,2021,0.204525
36,New York,2022,0.203554
36,New York,2023,0.202809
37,North Carolina,2000,0.222519
37,North Carolina,2001,0.218851
37,North Carolina,2002,0.215497
37,North Carolina,2003,0.210893
37,North Carolina,2004,0.209247
37,North Carolina,2005,0.205698
37,North Carolina,2006,0.203604
37,North Carolina,2007,0.200085
37,North Carolina,2008,0.200086
37,North Carolina,2009,0.199781
37,North Carolina,2010,0.194683
37,North Carolina,2011,0.195559
37,North Carolina,2012,0.195505
37,North Carolina,2013,0.196042
37,North Carolina,2014,0.196038
37,North Carolina,2015,0.195841
37,North Carolina,2016,0.195726
37,North Carolina,2017,0.196147
37,North Carolina,2018,0.196339
37,North Carolina,2019,0.196953
37,North Carolina,2020,0.194205
37,North Carolina,2021,0.195573
37,North Carolina,2022,0.196133
37,North Carolina,2023,0.196582
38,North Dakota,2000,0.197924
38,North Dakota,2001,0.196953
38,North Dakota,2002,0.199501
38,North Dakota,2003,0.203808
38,North Dakota,2004,0.208547
38,North Dakota,2005,0.210468
38,North Dakota,2006,0.213481
38,North Dakota,2007,0.2147
38,North Dakota,2008,0.216604
38,North Dakota,2009,0.21959
38,North Dakota,2010,0.217249
38,North Dakota,2011,0.222244
38,North Dakota,2012,0.227432
38,North Dakota,2013,0.233162
38,North Dakota,2014,0.236445
38,North Dakota,2015,0.238245
38,North Dakota,2016,0.235468
38,North Dakota,2017,0.232563
38,North Dakota,2018,0.229783
38,North Dakota,2019,0.227168
38,North Dakota,2020,0.220293
38,North Dakota,2021,0.217332
38,North Dakota,2022,0.215295
38,North Dakota,2023,0.214436
39,Ohio,2000,0.197631
39,Ohio,2001,0.196603
39,Ohio,2002,0.196108
39,Ohio,2003,0.19546
39,Ohio,2004,0.19385
39,Ohio,2005,0.192125
39,Ohio,2006,0.189904
39,Ohio,2007,0.188453
39,Ohio,2008,0.187997
39,Ohio,2009,0.188159
39,Ohio,2010,0.188479
39,Ohio,2011,0.190653
39,Ohio,2012,0.192416
39,Ohio,2013,0.194335
39,Ohio,2014,0.195366
39,Ohio,2015,0.195741
39,Ohio,2016,0.196118
39,Ohio,2017,0.196373
39,Ohio,2018,0.196705
39,Ohio,2019,0.197224
39,Ohio,2020,0.194683
39,Ohio,2021,0.1948
39,Ohio,2022,0.194952
39,Ohio,2023,0.194798
